area ID,ISO 3166-1 alpha-2,MapCode ENTSO-E,primary AreaName ENTSO-E,primary concept,EU memberstate,EU inside,15min,30min,60min,EIC,meaning cf. ENTSO-E,country,bidding zone,bidding zone aggregation,control area,market balance area,load from ENTSO-E TP,generation from ENTSOE-TP,price from ENTSO-E TP,generation from TSO,price from TSO,load from ENTSO-E data portal,load from TSO,Capacity from OPSD
LT,LT,LT,Lithuania,country,True,True,False,False,True,10YLT-1001A0008Q,"Lithuania, Litgrid BZ / CA / MBA",Lithuania,Litgrid,,Litgrid,Litgrid,True,True,False,False,False,True,False,False
LU,LU,LU,Luxembourg,country,True,True,True,False,False,10YLU-CEGEDEL-NQ,"Luxembourg, CREOS CA",Luxembourg,,,CREOS,,True,False,False,False,False,True,False,False
LV,LV,LV,Latvia,country,True,True,False,False,True,10YLV-1001A00074,"Latvia, AST BZ / CA / MBA",Latvia,AST,,AST,AST,True,True,False,False,False,True,False,False
ME,ME,ME,Montenegro,country,False,False,False,False,True,10YCS-CG-TSO---S,"Montenegro, CGES BZ / CA / MBA",Montenegro,CGES,,CGES,CGES,True,True,False,False,False,True,False,False
MK,MK,MK,Former Yugoslav Republic of Macedonia,country,False,False,False,False,True,10YMK-MEPSO----8,"Former Yugoslav Republic of Macedonia, MEPSO BZ / CA / MBA",Former Yugoslav Republic of Macedonia,MEPSO,,MEPSO,MEPSO,True,True,False,False,False,True,False,False
NL,NL,NL,Netherlands,country,True,True,True,False,False,10YNL----------L,"Netherlands, TenneT NL BZ / CA/ MBA",Netherlands,TenneT NL,,TenneT NL,TenneT NL,True,True,False,False,False,True,False,False
NO,NO,NO,Norway,country,False,False,False,False,True,10YNO-0--------C,"Norway, Norway MBA, Stattnet CA",Norway,,,Statnett,Norway,True,True,False,False,False,True,False,False
NO_1,,NO1,NO1 BZ,bidding zone,False,False,False,False,True,10YNO-1--------2,NO1 BZ / MBA,,NO1,,,NO1,True,True,True,False,False,False,False,False
NO_2,,NO2,NO2 BZ,bidding zone,False,False,False,False,True,10YNO-2--------T,NO2 BZ / MBA,,NO2,,,NO2,True,True,True,False,True,False,False,False
NO_3,,NO3,NO3 BZ,bidding zone,False,False,False,False,True,10YNO-3--------J,NO3 BZ / MBA,,NO3,,,NO3,True,True,True,False,False,False,False,False
NO_4,,NO4,NO4 BZ,bidding zone,False,False,False,False,True,10YNO-4--------9,NO4 BZ / MBA,,NO4,,,NO4,True,True,True,False,False,False,False,False
NO_5,,NO5,NO5 BZ,bidding zone,False,False,False,False,True,10Y1001A1001A48H,NO5 BZ / MBA,,NO5,,,NO5,True,True,True,False,False,False,False,False
PL,PL,PL,Poland,country,True,True,False,False,True,10YPL-AREA-----S,"Poland, PSE SA BZ / BZA / CA / MBA",Poland,PSE SA,PSE SA,PSE SA,PSE SA,True,True,False,True,False,True,False,False
PT,PT,PT,Portugal,country,True,True,False,False,True,10YPT-REN------W,"Portugal, REN BZ / CA / MBA",Portugal,REN,,REN,REN,True,True,False,False,False,True,False,False
RO,RO,RO,Romania,country,True,True,False,False,True,10YRO-TEL------P,"Romania, Transelectrica BZ / CA/ MBA",Romania,Transelectrica,,Transelectrica,Transelectrica,True,True,False,False,False,True,False,False
RS,RS,RS,Serbia,country,False,False,False,False,True,10YCS-SERBIATSOV,"Serbia, EMS BZ / CA / MBA",Serbia,EMS,,EMS,EMS,True,False,False,False,False,True,False,False
SE,SE,SE,Sweden,country,True,True,False,False,True,10YSE-1--------K,"Sweden, Sweden MBA, SvK CA",Sweden,,,SvK,Sweden,True,True,False,True,False,True,True,False
SE_1,,SE1,SE1 BZ,bidding zone,False,True,False,False,True,10Y1001A1001A44P,SE1 BZ / MBA,,SE1,,,SE1,True,True,True,False,False,False,False,False
SE_2,,SE2,SE2 BZ,bidding zone,False,True,False,False,True,10Y1001A1001A45N,SE2 BZ / MBA,,SE2,,,SE2,True,True,True,False,False,False,False,False
SE_3,,SE3,SE3 BZ,bidding zone,False,True,False,False,True,10Y1001A1001A46L,SE3 BZ / MBA,,SE3,,,SE3,True,True,True,False,True,False,False,False
SE_4,,SE4,SE4 BZ,bidding zone,False,True,False,False,True,10Y1001A1001A47J,SE4 BZ / MBA,,SE4,,,SE4,True,True,True,False,True,False,False,False
SI,SI,SI,Slovenia,country,True,True,False,False,True,10YSI-ELES-----O,"Slovenia, ELES BZ / CA / MBA",Slovenia,ELES,,ELES,ELES,True,True,False,False,False,True,False,False
SK,SK,SK,Slovakia,country,True,True,False,False,True,10YSK-SEPS-----K,"Slovakia, SEPS BZ / CA / MBA",Slovakia,SEPS,,SEPS,SEPS,True,True,False,False,False,True,False,False
AL,AL,,,country,False,False,,,,10YAL-KESH-----5,"Albania, OST BZ / CA / MBA",Albania,OST,,OST,OST,False,False,False,False,False,True,False,False
,BY,,,country,False,False,,,,BY,Belarus,Belarus,,,,,False,False,False,False,False,False,False,False
,,,,bidding zone,False,False,,,,10Y1001A1001A51S,Belarus BZ / CA / MBA,,Belarus,,Belarus,Belarus,False,False,False,False,False,False,False,False
,,,,bidding zone,False,True,True,False,True,10YDOM-CZ-DE-SKK,BZ CZ+DE+SK BZ / BZA,,BZ CZ+DE+SK,BZ CZ+DE+SK,,,False,False,False,False,False,False,False,False
,,,,region,False,True,,,,10YDOM-REGION-1V,CWE Region,,,,,,False,False,False,False,False,False,False,False
DE_LU,,DE-LU,DE-LU BZ,bidding zone,False,True,False,False,True,10Y1001A1001A82H,DE-LU BZ / MBA,,DE-LU,,,DE-LU,False,False,True,False,False,False,False,False
,,,IT-MACROZONE NORTH MBA,market balance area,False,True,False,False,True,10Y1001A1001A84D,IT-MACROZONE NORTH MBA,,,,,IT-MACROZONE NORTH,False,False,False,False,False,False,False,False
,,,IT-MACROZONE SOUTH MBA,bidding zone,False,True,False,False,True,10Y1001A1001A85B,IT-MACROZONE SOUTH MBA,,,,,IT-MACROZONE SOUTH,False,False,False,False,False,False,False,False
,,,,bidding zone,False,True,False,False,True,10Y1001A1001A877,IT-Malta BZ,,IT-Malta,,,,False,False,False,False,False,False,False,False
,,,,bidding zone,False,False,,,,10Y1001A1001A50U,Kaliningrad BZ / CA / MBA,,Kaliningrad,,Kaliningrad,Kaliningrad,False,False,False,False,False,False,False,False
MT,MT,MT,Malta,country,True,True,False,False,True,10Y1001A1001A93C,"Malta, Malta BZ / CA / MBA",Malta,Malta,,Malta,Malta,False,False,False,False,False,False,False,False
,,,,bidding zone aggregation,False,True,False,False,True,10YDOM-1001A082L,PL-CZ BZA / CA,,,PL-CZ,PL-CZ,,False,False,False,False,False,False,False,False
,MD,,,country,False,False,,,,10Y1001A1001A990,"Republic of Moldova, Moldelectica BZ/CA/MBA",Republic of Moldova,Moldelectica BZ,,Moldelectica CA,Moldelectica MBA,False,False,False,False,False,False,False,False
,,,,bidding zone,False,False,,,,10Y1001A1001A49F,Russia BZ / CA / MBA,,Russia,,Russia,Russia,False,False,False,False,False,False,False,False
,RU,,,country,False,False,,,,RU,Russian Federation,Russian Federation,,,,,False,False,False,False,False,False,False,False
TR,TR,,,country,False,False,,,,10YTR-TEIAS----W,Turkey BZ / CA / MBA,Turkey,Turkey,,Turkey,Turkey,False,False,False,False,False,False,False,False
UA,UA,,Ukraine,country,False,False,False,False,True,10Y1001C--00003F,"Ukraine, Ukraine BZ, MBA",Ukraine,Ukraine,,,Ukraine,True,False,False,False,False,False,False,False
,,,,control area,False,False,,,,10Y1001A1001A869,Ukraine-DobTPP CTA,,,,Ukraine-DobTPP CTA,,False,False,False,False,False,False,False,False
UA_west,UA,,Ukraine BEI CA,control area,False,False,False,False,True,10YUA-WEPS-----0,Ukraine BEI CTA,,,,Ukraine BEI,,True,False,False,False,False,True,False,False
UA_east,UA,,Ukraine IPS CA,control area,False,False,False,False,True,10Y1001C--000182,Ukraine IPS CTA,,,,Ukraine IPS,,True,False,False,False,False,False,False,False
